Number  Square  Square root
---------------------------
     1       1    1.000
     2       8    1.414
     3      27    1.732
     4      64    2.000
     5     125    2.236
     6     216    2.449
     7     343    2.646
     8     512    2.828
     9     729    3.000
    10    1000    3.162
    11    1331    3.317
    12    1728    3.464
    13    2197    3.606
    14    2744    3.742
    15    3375    3.873
    16    4096    4.000
    17    4913    4.123
    18    5832    4.243
    19    6859    4.359
    20    8000    4.472
    21    9261    4.583
    22   10648    4.690
    23   12167    4.796
    24   13824    4.899
    25   15625    5.000
    26   17576    5.099
    27   19683    5.196
    28   21952    5.292
    29   24389    5.385
    30   27000    5.477
    31   29791    5.568
    32   32768    5.657
    33   35937    5.745
    34   39304    5.831
    35   42875    5.916
    36   46656    6.000
    37   50653    6.083
    38   54872    6.164
    39   59319    6.245
    40   64000    6.325
    41   68921    6.403
    42   74088    6.481
    43   79507    6.557
    44   85184    6.633
    45   91125    6.708
    46   97336    6.782
    47  103823    6.856
    48  110592    6.928
    49  117649    7.000
    50  125000    7.071
    51  132651    7.141
    52  140608    7.211
    53  148877    7.280
    54  157464    7.348
    55  166375    7.416
    56  175616    7.483
    57  185193    7.550
    58  195112    7.616
    59  205379    7.681
    60  216000    7.746
    61  226981    7.810
    62  238328    7.874
    63  250047    7.937
    64  262144    8.000
    65  274625    8.062
    66  287496    8.124
    67  300763    8.185
    68  314432    8.246
    69  328509    8.307
    70  343000    8.367
    71  357911    8.426
    72  373248    8.485
    73  389017    8.544
    74  405224    8.602
    75  421875    8.660
    76  438976    8.718
    77  456533    8.775
    78  474552    8.832
    79  493039    8.888
    80  512000    8.944
    81  531441    9.000
    82  551368    9.055
    83  571787    9.110
    84  592704    9.165
    85  614125    9.220
    86  636056    9.274
    87  658503    9.327
    88  681472    9.381
    89  704969    9.434
    90  729000    9.487
    91  753571    9.539
    92  778688    9.592
    93  804357    9.644
    94  830584    9.695
    95  857375    9.747
    96  884736    9.798
    97  912673    9.849
    98  941192    9.899
    99  970299    9.950
   100 1000000   10.000
